true,animals,cities,companies,elements,facts,generated,inventions
0.78922325,0.9058451,0.6261339,0.614732,0.6712878,0.8032539,0.7453596,0.70480716
0.86586857,0.9204046,0.7487678,0.6990582,0.7300933,0.8358225,0.8272248,0.7644013
0.74898505,0.87706196,0.5957121,0.5765315,0.6509812,0.75456613,0.71896374,0.6703678
0.75692755,0.8794069,0.6005676,0.60448474,0.64472157,0.74248433,0.70523125,0.6878654
0.8111094,0.9179224,0.63483286,0.6277461,0.7133993,0.83087885,0.746029,0.72490084
0.873675,0.9148657,0.74973035,0.6862023,0.76578116,0.8732891,0.82532614,0.78025085
0.8050151,0.8905668,0.6577986,0.62561584,0.7003175,0.8054796,0.74061656,0.6922537
0.8544102,0.8972284,0.7258327,0.6914245,0.73454833,0.83245564,0.7930293,0.7499845
0.85277224,0.88521695,0.7330748,0.68170017,0.72953284,0.8396814,0.79503286,0.740383
0.8123383,0.88504905,0.6447289,0.6400271,0.7123767,0.8389516,0.7398205,0.71852225
0.810786,0.86819685,0.6753419,0.6523189,0.69283867,0.8085398,0.7792963,0.71983063
0.81039226,0.90602744,0.6403234,0.62421906,0.7246022,0.8386554,0.7422942,0.7224961
0.83945954,0.93080986,0.704486,0.66786027,0.71329916,0.8277908,0.80657244,0.7389995
0.8218423,0.9136768,0.67005754,0.6545912,0.7049857,0.8111167,0.7647351,0.7060852
0.77822864,0.9041135,0.6179755,0.59367484,0.66121817,0.8042284,0.73289835,0.69503355
0.81073725,0.90334,0.6552052,0.6399156,0.7103275,0.80621964,0.74952877,0.68861526
0.82070756,0.8378198,0.704553,0.650635,0.6952175,0.8167896,0.78661704,0.71629244
0.7845901,0.9025506,0.6339407,0.60563266,0.6813284,0.7806308,0.7343165,0.66708624
0.8099886,0.88087374,0.65405893,0.6361177,0.69121027,0.8403779,0.7593974,0.7168833
0.70161253,0.78008455,0.5583075,0.49558192,0.7249124,0.77019453,0.6417248,0.6606974
0.8096783,0.9217634,0.664462,0.6267432,0.6968625,0.8415507,0.77501804,0.7300272
0.8603866,0.9060666,0.7262491,0.67343324,0.7565465,0.8596191,0.80532396,0.7559793
0.7574196,0.9074056,0.589113,0.577667,0.66217256,0.78089005,0.71772206,0.6748229
0.79089725,0.8818103,0.6538875,0.62664986,0.68449986,0.78196794,0.7402042,0.66827404
0.7786907,0.87194127,0.62958384,0.62275976,0.67104876,0.76650935,0.71516395,0.69485545
0.77782,0.8849752,0.6091617,0.60449576,0.6959516,0.8030045,0.7223795,0.69192606
0.85813415,0.9343462,0.70782363,0.6874315,0.73982966,0.863236,0.8019935,0.7615197
0.81409705,0.9190602,0.6797397,0.6242703,0.7040352,0.8096073,0.7820868,0.7091602
0.813933,0.89022756,0.6578367,0.6614989,0.7071434,0.80493796,0.7498476,0.72526145
0.7811662,0.90558475,0.62279546,0.6125101,0.6914626,0.7854522,0.74682283,0.6962152
0.84294343,0.8866441,0.7084435,0.6594929,0.73719126,0.8354124,0.7759866,0.73993874
0.79182076,0.9180161,0.62793994,0.60995716,0.6829418,0.8106944,0.74661374,0.7207104
0.7837642,0.8869858,0.6100061,0.6084193,0.69486254,0.81203014,0.7262537,0.7043632
0.8487877,0.93454534,0.7093983,0.6610775,0.73618144,0.8529997,0.79492736,0.7336582
0.82441825,0.91273725,0.6799015,0.6446285,0.70640695,0.86819804,0.7751483,0.7723247
0.85107726,0.90281516,0.7030581,0.655088,0.7585207,0.8699226,0.7813514,0.7552047
0.84857154,0.90166456,0.73576605,0.6709584,0.72797805,0.82855266,0.7958652,0.7421076
0.705264,0.80495095,0.5557097,0.5130448,0.6990237,0.7734201,0.65973306,0.66380763
0.7888737,0.9202952,0.62022334,0.6004343,0.69050187,0.8214036,0.73270035,0.7056807
0.8111199,0.919638,0.65190625,0.6280701,0.70089984,0.8196275,0.7591454,0.7199605
0.83508646,0.91410106,0.6867669,0.664401,0.70969796,0.83667743,0.8003648,0.7413812
0.8168257,0.9034079,0.6471281,0.6215128,0.7300652,0.8466954,0.7424244,0.7273313
0.8377471,0.86487263,0.74052763,0.6643946,0.7197828,0.8284971,0.789511,0.7494005
0.7009767,0.7930989,0.556678,0.5047545,0.69205076,0.77623606,0.6592083,0.6674941
0.8430115,0.9028039,0.72060525,0.68182695,0.7249788,0.8146842,0.7916261,0.7256425
0.83767986,0.9354,0.70326936,0.65393966,0.73027676,0.844227,0.78449315,0.75273
0.8529547,0.91577184,0.72405744,0.6782423,0.745119,0.8404237,0.8052078,0.7554517
0.8778769,0.8877037,0.7701568,0.68956006,0.75662595,0.8832452,0.8323653,0.78960717
0.8534113,0.9027249,0.7238865,0.66038257,0.74114853,0.853353,0.7939351,0.7539107
0.7615134,0.90026844,0.60016036,0.5824915,0.6633088,0.77905416,0.7283105,0.67792374
0.8061756,0.9048476,0.65255404,0.6312853,0.69915813,0.8027493,0.74763536,0.69463754
0.79939544,0.90353405,0.6501578,0.63003254,0.68914855,0.7937163,0.75612414,0.6882771
0.7958099,0.85977346,0.635118,0.6663985,0.68381643,0.783794,0.72970307,0.72716904
0.8134871,0.91353726,0.65367216,0.63235277,0.7121866,0.8377058,0.76448476,0.7199947
0.816127,0.8488785,0.7088482,0.67300236,0.6938318,0.77744246,0.76571316,0.7050196
0.7016278,0.7691158,0.5638174,0.5059124,0.72132796,0.7635242,0.649491,0.6615029
0.7847709,0.85986054,0.65091956,0.61222583,0.6809956,0.774797,0.7375503,0.6682122
0.76400816,0.8788415,0.6010482,0.60348666,0.6500675,0.7811123,0.717075,0.67526287
0.792994,0.9193821,0.6247635,0.60968244,0.7011076,0.82910717,0.74261713,0.72313714
0.7640524,0.8999462,0.6081319,0.59930485,0.65545905,0.764834,0.72361374,0.6660518
0.81772655,0.8885466,0.6678617,0.65274495,0.7208439,0.8059691,0.75428796,0.70248413
0.855761,0.9207399,0.7278482,0.6931741,0.7209543,0.8282366,0.81409633,0.7511759
0.80984545,0.87194777,0.6732657,0.64597535,0.6933941,0.79756767,0.7579516,0.70271075
0.8168514,0.92119825,0.6622788,0.642082,0.69803244,0.823439,0.7660086,0.71855557
0.8558723,0.8951993,0.73160386,0.67020583,0.7450101,0.85746694,0.79312223,0.74907637
0.8210567,0.8924898,0.6770402,0.64920545,0.72177285,0.80408347,0.7465595,0.7039685
0.79339725,0.9208284,0.6320823,0.61600363,0.6793419,0.80092573,0.74750865,0.70025474
0.7929131,0.9248961,0.62878317,0.6232266,0.69775647,0.78778803,0.74240065,0.68403494
0.85495925,0.8749856,0.7418013,0.7002908,0.7327785,0.82522434,0.7974267,0.74569744
0.76075613,0.8814265,0.5997498,0.5748973,0.6648644,0.8231299,0.7151009,0.7021393
0.79393184,0.91544205,0.6214373,0.6244274,0.6842167,0.8041589,0.74152434,0.7096821
0.8472241,0.8669877,0.71616226,0.7061881,0.7181009,0.8182386,0.805972,0.7483284
0.82342756,0.9233389,0.6706306,0.6397064,0.722942,0.8189397,0.75831914,0.70893466
0.7955196,0.9275839,0.6328561,0.6138041,0.6885797,0.81252825,0.74825895,0.6915585
0.8371093,0.9242682,0.71195555,0.65773225,0.7139041,0.83845776,0.7900653,0.7558173
0.78773594,0.9024155,0.6297778,0.61615807,0.6827252,0.7829536,0.7308048,0.6762451
0.7724142,0.90353847,0.60836065,0.58900654,0.6639673,0.79676837,0.72744477,0.688201
0.79391813,0.9036791,0.6277579,0.6246135,0.6853312,0.808546,0.7500019,0.7062048
0.7937108,0.91686,0.6491469,0.61907476,0.6955877,0.78531164,0.7646633,0.6939734
0.84205174,0.9152661,0.6998386,0.675393,0.734429,0.8314769,0.79495925,0.74333596
0.8279269,0.9003214,0.6931842,0.62821263,0.72321147,0.83860946,0.7655914,0.72450876
0.83773714,0.90025264,0.710669,0.675233,0.7111222,0.8279103,0.803051,0.72087246
0.818915,0.9063804,0.64710534,0.6466001,0.73201036,0.8333974,0.7523009,0.7198996
0.7813998,0.9038436,0.6180757,0.6084462,0.68520105,0.78228664,0.73541886,0.6871203
0.8606263,0.9299826,0.7304789,0.6878407,0.7157134,0.85072803,0.8254544,0.75881064
0.83315504,0.89913446,0.6975868,0.6406025,0.72683465,0.8365988,0.7697607,0.72971857
0.8545779,0.9251731,0.7388735,0.6714182,0.7250967,0.85674644,0.8105506,0.7758728
0.8387617,0.90421873,0.7129491,0.6589694,0.72267604,0.8317269,0.7781652,0.7227911
0.8317733,0.9121523,0.6622695,0.6525712,0.7260896,0.8563288,0.77084076,0.7513313
0.82284015,0.91203725,0.67511487,0.6695708,0.7080091,0.7935257,0.77069986,0.7295872
0.7890097,0.91331905,0.6160678,0.61789834,0.67344403,0.8055471,0.74049854,0.7070729
0.8097223,0.8931182,0.66955686,0.6384262,0.6899747,0.8174224,0.7822113,0.70993245
0.75996536,0.87255335,0.60369766,0.6175662,0.6454528,0.7447298,0.70290804,0.6880174
0.7982814,0.9011677,0.6559708,0.6255731,0.6800158,0.7869454,0.7502425,0.6812725
0.83889604,0.87137055,0.72247446,0.6564523,0.7212444,0.83023894,0.7838472,0.7304722
0.8177624,0.87712204,0.67036414,0.6733488,0.7020557,0.7982351,0.7582284,0.7279817
0.8411813,0.91447246,0.6944895,0.6910272,0.7216421,0.81207514,0.79006076,0.7445903
0.7909538,0.89226544,0.6283952,0.61253214,0.6862198,0.8114342,0.73124874,0.70179653
0.85239816,0.8922303,0.7172033,0.66364896,0.7516726,0.85303146,0.78707683,0.75160486
0.74063283,0.8608999,0.5980924,0.5922335,0.629223,0.7115278,0.69911826,0.668196
0.8293033,0.92597836,0.6863067,0.63791007,0.70673144,0.8327344,0.7927381,0.7302551
0.8156862,0.9009727,0.6664095,0.6605525,0.68912226,0.80154115,0.7706057,0.70894575
0.81240094,0.9009971,0.6445374,0.6599815,0.71139014,0.78648067,0.74114406,0.7352391
0.8210008,0.9046171,0.67252177,0.65468216,0.70238113,0.8060224,0.774423,0.7314355
0.7743535,0.8646318,0.62900615,0.6135324,0.67097056,0.75804543,0.73125553,0.65610045
0.75119996,0.9047876,0.5836947,0.5707312,0.6574805,0.7739362,0.71399766,0.6751373
0.8188267,0.9207908,0.66309977,0.6430001,0.720449,0.8241304,0.7651477,0.72843826
0.8176043,0.894812,0.66731215,0.64808047,0.71189636,0.8193244,0.7605691,0.7066443
0.8002212,0.8761811,0.6330843,0.6516247,0.70077074,0.78763175,0.73112,0.72207457
0.80290973,0.8852366,0.66466117,0.6303079,0.691211,0.7950929,0.7545787,0.6840609
0.7877608,0.87406576,0.6457045,0.61650294,0.6799144,0.7808089,0.7314836,0.6694844
0.841923,0.88204044,0.7093736,0.6760087,0.7224233,0.83122706,0.7817612,0.7331094
0.83699393,0.9324991,0.69225585,0.6584117,0.7240064,0.8455153,0.77652115,0.72946364
0.86275506,0.9291751,0.73985296,0.6814761,0.7409963,0.8527454,0.81404704,0.75910264
0.8611902,0.9285928,0.73848,0.6840513,0.73972523,0.85375047,0.8139478,0.7661993
0.81464124,0.9035107,0.64793605,0.63756794,0.71413535,0.8305231,0.75826377,0.729169
0.7880151,0.9016602,0.64692783,0.61680037,0.6707895,0.77766204,0.7495806,0.6900117
0.83580035,0.9318843,0.69498885,0.67006737,0.70391726,0.82829523,0.79762185,0.72920406
0.807028,0.9017866,0.6775667,0.62637246,0.7103548,0.834986,0.7497484,0.7145605
0.79830194,0.90831506,0.6398365,0.6313424,0.7038864,0.795558,0.750577,0.6967412
0.8393378,0.90231854,0.6995011,0.6424117,0.7282479,0.8661722,0.7819135,0.7418817
0.82792133,0.9177606,0.6766441,0.64515436,0.7103155,0.84469736,0.77896225,0.73259795
0.7870499,0.8729607,0.646963,0.62130183,0.66501313,0.7814659,0.73431087,0.67248315
0.84354883,0.9123171,0.7046798,0.67685026,0.746176,0.8217288,0.7883071,0.7249916
0.79685605,0.89440995,0.62571585,0.622646,0.70369744,0.8174761,0.7386918,0.71677125
0.77687126,0.8971012,0.61707485,0.61099005,0.6840396,0.78566676,0.7378663,0.691067
0.80391407,0.8810154,0.6482636,0.6100329,0.77882177,0.84155726,0.7396456,0.74612105
0.81834614,0.8838818,0.68579656,0.66280544,0.70779157,0.78853863,0.774235,0.7191699
0.78176594,0.8832304,0.63171756,0.630713,0.68067926,0.7659126,0.7279061,0.68729305
0.8210932,0.914181,0.6771985,0.653046,0.72160864,0.7997618,0.7785637,0.71862376
0.82212037,0.87997985,0.67090094,0.6445297,0.71480596,0.83483887,0.7551644,0.7337336
0.7858094,0.8963709,0.62945545,0.62122905,0.7014108,0.7888948,0.7419813,0.6972767
0.8320489,0.88466704,0.713959,0.6656085,0.7007679,0.8075781,0.7979751,0.7342304
0.78531975,0.9002682,0.6259258,0.5974121,0.69108665,0.8419063,0.7398874,0.73631424
0.83039075,0.8594339,0.71991956,0.6615189,0.6974592,0.8204887,0.79735154,0.7218827
0.81399775,0.8861537,0.6628225,0.666133,0.71269774,0.7883558,0.75240636,0.72705656
0.8358217,0.91545045,0.7027893,0.64726263,0.7367531,0.8511125,0.7788988,0.7453604
0.7976794,0.9199224,0.6361869,0.6206435,0.6994547,0.7980423,0.7401274,0.6977618
0.78924835,0.8822216,0.637392,0.6249002,0.68012637,0.7845547,0.7321547,0.6636921
0.7670218,0.8941283,0.60124123,0.60719454,0.68634963,0.77005523,0.7197692,0.6769699
0.83814883,0.87227327,0.68166983,0.6713847,0.73728156,0.8545623,0.7686831,0.7603706
