true,animals,cities,companies,elements,facts,generated,inventions
0.78922325,0.9058451,0.6261339,0.614732,0.6712878,0.8032539,0.7453596,0.70480716
0.75692755,0.8794069,0.6005676,0.60448474,0.64472157,0.74248433,0.70523125,0.6878654
0.8111094,0.9179224,0.63483286,0.6277461,0.7133993,0.83087885,0.746029,0.72490084
0.873675,0.9148657,0.74973035,0.6862023,0.76578116,0.8732891,0.82532614,0.78025085
0.8050151,0.8905668,0.6577986,0.62561584,0.7003175,0.8054796,0.74061656,0.6922537
0.810786,0.86819685,0.6753419,0.6523189,0.69283867,0.8085398,0.7792963,0.71983063
0.8218423,0.9136768,0.67005754,0.6545912,0.7049857,0.8111167,0.7647351,0.7060852
0.77822864,0.9041135,0.6179755,0.59367484,0.66121817,0.8042284,0.73289835,0.69503355
0.81073725,0.90334,0.6552052,0.6399156,0.7103275,0.80621964,0.74952877,0.68861526
0.82070756,0.8378198,0.704553,0.650635,0.6952175,0.8167896,0.78661704,0.71629244
0.7845901,0.9025506,0.6339407,0.60563266,0.6813284,0.7806308,0.7343165,0.66708624
0.8099886,0.88087374,0.65405893,0.6361177,0.69121027,0.8403779,0.7593974,0.7168833
0.70161253,0.78008455,0.5583075,0.49558192,0.7249124,0.77019453,0.6417248,0.6606974
0.8603866,0.9060666,0.7262491,0.67343324,0.7565465,0.8596191,0.80532396,0.7559793
0.7574196,0.9074056,0.589113,0.577667,0.66217256,0.78089005,0.71772206,0.6748229
0.79089725,0.8818103,0.6538875,0.62664986,0.68449986,0.78196794,0.7402042,0.66827404
0.7786907,0.87194127,0.62958384,0.62275976,0.67104876,0.76650935,0.71516395,0.69485545
0.85813415,0.9343462,0.70782363,0.6874315,0.73982966,0.863236,0.8019935,0.7615197
0.81409705,0.9190602,0.6797397,0.6242703,0.7040352,0.8096073,0.7820868,0.7091602
0.813933,0.89022756,0.6578367,0.6614989,0.7071434,0.80493796,0.7498476,0.72526145
0.7811662,0.90558475,0.62279546,0.6125101,0.6914626,0.7854522,0.74682283,0.6962152
0.79182076,0.9180161,0.62793994,0.60995716,0.6829418,0.8106944,0.74661374,0.7207104
0.7837642,0.8869858,0.6100061,0.6084193,0.69486254,0.81203014,0.7262537,0.7043632
0.84857154,0.90166456,0.73576605,0.6709584,0.72797805,0.82855266,0.7958652,0.7421076
0.705264,0.80495095,0.5557097,0.5130448,0.6990237,0.7734201,0.65973306,0.66380763
0.8111199,0.919638,0.65190625,0.6280701,0.70089984,0.8196275,0.7591454,0.7199605
0.83508646,0.91410106,0.6867669,0.664401,0.70969796,0.83667743,0.8003648,0.7413812
0.8168257,0.9034079,0.6471281,0.6215128,0.7300652,0.8466954,0.7424244,0.7273313
0.8377471,0.86487263,0.74052763,0.6643946,0.7197828,0.8284971,0.789511,0.7494005
0.8430115,0.9028039,0.72060525,0.68182695,0.7249788,0.8146842,0.7916261,0.7256425
0.8529547,0.91577184,0.72405744,0.6782423,0.745119,0.8404237,0.8052078,0.7554517
0.8778769,0.8877037,0.7701568,0.68956006,0.75662595,0.8832452,0.8323653,0.78960717
0.8534113,0.9027249,0.7238865,0.66038257,0.74114853,0.853353,0.7939351,0.7539107
0.7615134,0.90026844,0.60016036,0.5824915,0.6633088,0.77905416,0.7283105,0.67792374
0.816127,0.8488785,0.7088482,0.67300236,0.6938318,0.77744246,0.76571316,0.7050196
0.7847709,0.85986054,0.65091956,0.61222583,0.6809956,0.774797,0.7375503,0.6682122
0.76400816,0.8788415,0.6010482,0.60348666,0.6500675,0.7811123,0.717075,0.67526287
0.792994,0.9193821,0.6247635,0.60968244,0.7011076,0.82910717,0.74261713,0.72313714
0.7640524,0.8999462,0.6081319,0.59930485,0.65545905,0.764834,0.72361374,0.6660518
0.81772655,0.8885466,0.6678617,0.65274495,0.7208439,0.8059691,0.75428796,0.70248413
0.855761,0.9207399,0.7278482,0.6931741,0.7209543,0.8282366,0.81409633,0.7511759
0.8168514,0.92119825,0.6622788,0.642082,0.69803244,0.823439,0.7660086,0.71855557
0.8558723,0.8951993,0.73160386,0.67020583,0.7450101,0.85746694,0.79312223,0.74907637
0.8210567,0.8924898,0.6770402,0.64920545,0.72177285,0.80408347,0.7465595,0.7039685
0.79339725,0.9208284,0.6320823,0.61600363,0.6793419,0.80092573,0.74750865,0.70025474
0.85495925,0.8749856,0.7418013,0.7002908,0.7327785,0.82522434,0.7974267,0.74569744
0.8472241,0.8669877,0.71616226,0.7061881,0.7181009,0.8182386,0.805972,0.7483284
0.82342756,0.9233389,0.6706306,0.6397064,0.722942,0.8189397,0.75831914,0.70893466
0.79391813,0.9036791,0.6277579,0.6246135,0.6853312,0.808546,0.7500019,0.7062048
