Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,1.000 ± 0.000,1.000 ± 0.000,-,-,-,-
CT,None,1.000 ± 0.000,1.000 ± 0.000,-,-,-,-
GLR,None,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.017 ± 0.011,0.001 ± 0.001,0.007 ± 0.003
GLR,Histogram,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.001 ± 0.002,0.000 ± 0.001,0.001 ± 0.001
GLR,Isotonic,0.999 ± 0.002,0.999 ± 0.003,1.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.001,0.001 ± 0.001
GLR,Platt,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.004 ± 0.004,0.000 ± 0.000,0.002 ± 0.002
GLR,Beta,0.999 ± 0.002,0.999 ± 0.003,1.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.001,0.001 ± 0.001
CLR,None,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.049 ± 0.015,0.004 ± 0.003,0.019 ± 0.005
CLR,Histogram,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.002 ± 0.002,0.001 ± 0.001,0.001 ± 0.002
CLR,Isotonic,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.002 ± 0.002,0.001 ± 0.001,0.002 ± 0.002
CLR,Platt,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.016 ± 0.003,0.001 ± 0.001,0.007 ± 0.001
CLR,Beta,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.000,0.001 ± 0.001
EmbCLR,None,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.052 ± 0.015,0.004 ± 0.002,0.025 ± 0.007
EmbCLR,Histogram,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.002 ± 0.003,0.000 ± 0.000,0.002 ± 0.003
EmbCLR,Isotonic,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.000,0.001 ± 0.000
EmbCLR,Platt,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.011 ± 0.001,0.000 ± 0.000,0.006 ± 0.001
EmbCLR,Beta,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
