Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,1.000,1.000,-,-,-,-
CT,None,1.000,1.000,-,-,-,-
GLR,None,1.000,1.000,1.000,0.649,0.623,0.614
GLR,Platt,1.000,1.000,1.000,0.646,0.639,0.636
GLR,Isotonic,0.995,0.992,1.000,0.002,0.001,0.002
GLR,Temperature,1.000,1.000,1.000,0.569,0.367,0.440
CLR,None,1.000,1.000,1.000,0.645,0.587,0.535
CLR,Platt,1.000,1.000,1.000,0.639,0.623,0.610
CLR,Isotonic,1.000,1.000,1.000,0.016,0.013,0.011
CLR,Temperature,1.000,1.000,1.000,0.567,0.359,0.379
EmbCLR,None,1.000,1.000,1.000,0.648,0.588,0.604
EmbCLR,Platt,1.000,1.000,1.000,0.644,0.633,0.638
EmbCLR,Isotonic,1.000,1.000,1.000,0.010,0.009,0.005
EmbCLR,Temperature,1.000,1.000,1.000,0.568,0.361,0.429
