Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,1.000,1.000,-,-,-,-
CT,None,1.000,1.000,-,-,-,-
GLR,None,1.000,1.000,1.000,0.707,0.692,0.695
GLR,Platt,1.000,1.000,1.000,0.707,0.705,0.706
GLR,Isotonic,1.000,1.000,1.000,0.000,0.000,0.000
GLR,Temperature,1.000,1.000,1.000,0.596,0.396,0.510
CLR,None,1.000,1.000,1.000,0.701,0.655,0.670
CLR,Platt,1.000,1.000,1.000,0.707,0.695,0.701
CLR,Isotonic,1.000,1.000,1.000,0.009,0.008,0.005
CLR,Temperature,1.000,1.000,1.000,0.593,0.388,0.477
EmbCLR,None,1.000,1.000,1.000,0.702,0.646,0.670
EmbCLR,Platt,1.000,1.000,1.000,0.707,0.696,0.702
EmbCLR,Isotonic,1.000,1.000,1.000,0.020,0.019,0.016
EmbCLR,Temperature,1.000,1.000,1.000,0.594,0.387,0.478
