Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,1.000,1.000,-,-,-,-
CT,None,1.000,1.000,-,-,-,-
GLR,None,1.000,1.000,1.000,0.661,0.634,0.635
GLR,Platt,1.000,1.000,1.000,0.654,0.646,0.647
GLR,Isotonic,1.000,1.000,1.000,0.001,0.000,0.001
GLR,Temperature,1.000,1.000,1.000,0.574,0.372,0.460
CLR,None,1.000,1.000,1.000,0.654,0.596,0.583
CLR,Platt,1.000,1.000,1.000,0.654,0.638,0.638
CLR,Isotonic,1.000,1.000,1.000,0.001,0.000,0.001
CLR,Temperature,1.000,1.000,1.000,0.571,0.363,0.401
EmbCLR,None,1.000,1.000,1.000,0.650,0.588,0.606
EmbCLR,Platt,1.000,1.000,1.000,0.648,0.638,0.643
EmbCLR,Isotonic,1.000,1.000,1.000,0.000,0.000,0.000
EmbCLR,Temperature,1.000,1.000,1.000,0.570,0.361,0.417
