Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,1.000,1.000,-,-,-,-
CT,None,1.000,1.000,-,-,-,-
GLR,None,1.000,1.000,1.000,0.684,0.671,0.676
GLR,Platt,1.000,1.000,1.000,0.690,0.687,0.689
GLR,Isotonic,1.000,1.000,1.000,0.000,0.000,0.000
GLR,Temperature,1.000,1.000,1.000,0.586,0.386,0.498
CLR,None,1.000,1.000,1.000,0.690,0.651,0.655
CLR,Platt,1.000,1.000,1.000,0.698,0.681,0.685
CLR,Isotonic,1.000,1.000,1.000,0.007,0.003,0.005
CLR,Temperature,1.000,1.000,1.000,0.588,0.384,0.441
EmbCLR,None,1.000,1.000,1.000,0.690,0.649,0.669
EmbCLR,Platt,1.000,1.000,1.000,0.694,0.682,0.687
EmbCLR,Isotonic,1.000,1.000,1.000,0.003,0.000,0.001
EmbCLR,Temperature,1.000,1.000,1.000,0.588,0.384,0.485
