Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,1.000,1.000,-,-,-,-
CT,None,1.000,1.000,-,-,-,-
GLR,None,1.000,1.000,1.000,0.654,0.639,0.629
GLR,Platt,1.000,1.000,1.000,0.661,0.657,0.652
GLR,Isotonic,1.000,1.000,1.000,0.000,0.000,0.000
GLR,Temperature,1.000,1.000,1.000,0.572,0.372,0.452
CLR,None,1.000,1.000,1.000,0.665,0.624,0.601
CLR,Platt,1.000,1.000,1.000,0.663,0.647,0.646
CLR,Isotonic,1.000,1.000,1.000,0.010,0.010,0.010
CLR,Temperature,1.000,1.000,1.000,0.576,0.372,0.423
EmbCLR,None,1.000,1.000,1.000,0.667,0.626,0.640
EmbCLR,Platt,1.000,1.000,1.000,0.664,0.652,0.658
EmbCLR,Isotonic,1.000,1.000,1.000,0.020,0.019,0.016
EmbCLR,Temperature,1.000,1.000,1.000,0.577,0.373,0.463
