Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.90 ± 0.12,0.10 ± 0.13,-,-,-,-
CT,None,0.92 ± 0.09,0.20 ± 0.23,-,-,-,-
GLR,None,0.90 ± 0.12,0.10 ± 0.14,0.80 ± 0.08,0.80 ± 0.12,0.69 ± 0.16,0.60 ± 0.09
GLR,Platt,0.90 ± 0.12,0.11 ± 0.14,0.80 ± 0.08,0.80 ± 0.12,0.69 ± 0.16,0.61 ± 0.09
GLR,Isotonic,0.90 ± 0.12,0.10 ± 0.14,0.80 ± 0.09,0.80 ± 0.12,0.69 ± 0.16,0.60 ± 0.09
GLR,Temperature,0.90 ± 0.12,0.10 ± 0.14,0.80 ± 0.08,0.59 ± 0.11,0.38 ± 0.11,0.37 ± 0.06
CLR,None,0.92 ± 0.09,0.17 ± 0.23,0.80 ± 0.08,0.82 ± 0.21,0.74 ± 0.26,0.71 ± 0.30
CLR,Platt,0.92 ± 0.09,0.18 ± 0.23,0.80 ± 0.09,0.82 ± 0.21,0.74 ± 0.26,0.71 ± 0.30
CLR,Isotonic,0.92 ± 0.09,0.20 ± 0.23,0.79 ± 0.08,0.69 ± 0.19,0.61 ± 0.22,0.58 ± 0.25
CLR,Temperature,0.92 ± 0.09,0.17 ± 0.23,0.80 ± 0.08,0.60 ± 0.14,0.40 ± 0.14,0.53 ± 0.19
EmbCLR,None,0.92 ± 0.09,0.09 ± 0.20,0.79 ± 0.10,0.82 ± 0.20,0.73 ± 0.26,0.71 ± 0.31
EmbCLR,Platt,0.92 ± 0.09,0.21 ± 0.26,0.79 ± 0.11,0.82 ± 0.20,0.75 ± 0.25,0.72 ± 0.29
EmbCLR,Isotonic,0.92 ± 0.09,0.22 ± 0.25,0.78 ± 0.10,0.72 ± 0.18,0.65 ± 0.22,0.62 ± 0.25
EmbCLR,Temperature,0.92 ± 0.09,0.09 ± 0.20,0.79 ± 0.10,0.60 ± 0.14,0.40 ± 0.14,0.54 ± 0.19
