Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.719,0.000,-,-,-,-
CT,None,0.781,0.515,-,-,-,-
GLR,None,0.719,0.000,0.751,0.184,0.051,0.071
GLR,Histogram,0.719,0.000,0.726,0.185,0.051,0.072
GLR,Isotonic,0.719,0.000,0.750,0.184,0.050,0.070
GLR,Platt,0.719,0.000,0.751,0.184,0.051,0.070
GLR,Platt v2,0.719,0.000,0.751,0.184,0.051,0.070
GLR,Temperature,0.719,0.000,0.751,0.126,0.018,0.077
GLR,Temperature v2,0.719,0.000,0.751,0.184,0.051,0.070
GLR,Beta,0.719,0.000,0.751,0.185,0.052,0.071
CLR,None,0.778,0.506,0.751,0.048,0.004,0.020
CLR,Histogram,0.778,0.506,0.745,0.031,0.002,0.012
CLR,Isotonic,0.783,0.541,0.753,0.034,0.003,0.014
CLR,Platt,0.783,0.535,0.751,0.056,0.004,0.020
CLR,Platt v2,0.783,0.536,0.751,0.057,0.004,0.020
CLR,Temperature v2,0.778,0.506,0.751,0.048,0.004,0.020
CLR,Beta,0.782,0.523,0.751,0.043,0.003,0.019
EmbCLR,None,0.785,0.473,0.798,0.069,0.007,0.021
EmbCLR,Histogram,0.795,0.583,0.786,0.026,0.002,0.013
EmbCLR,Isotonic,0.796,0.577,0.797,0.025,0.002,0.008
EmbCLR,Platt,0.794,0.577,0.798,0.026,0.001,0.007
EmbCLR,Platt v2,0.794,0.577,0.798,0.026,0.001,0.007
EmbCLR,Temperature v2,0.785,0.473,0.798,0.043,0.005,0.010
EmbCLR,Beta,0.795,0.586,0.798,0.028,0.001,0.006
