Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.87 ± 0.15,0.60 ± 0.32,-,-,-,-
CT,None,0.90 ± 0.16,0.64 ± 0.38,-,-,-,-
GLR,None,0.86 ± 0.15,0.47 ± 0.34,0.81 ± 0.17,0.15 ± 0.04,0.04 ± 0.02,0.05 ± 0.02
GLR,Histogram,0.87 ± 0.15,0.60 ± 0.32,0.81 ± 0.17,0.12 ± 0.07,0.03 ± 0.03,0.05 ± 0.04
GLR,Isotonic,0.87 ± 0.15,0.59 ± 0.32,0.82 ± 0.17,0.12 ± 0.06,0.03 ± 0.03,0.05 ± 0.04
GLR,Platt,0.86 ± 0.15,0.49 ± 0.33,0.81 ± 0.17,0.15 ± 0.04,0.04 ± 0.02,0.05 ± 0.02
GLR,Platt v2,0.86 ± 0.15,0.49 ± 0.33,0.81 ± 0.17,0.15 ± 0.04,0.04 ± 0.02,0.05 ± 0.02
GLR,Temperature,0.86 ± 0.15,0.47 ± 0.34,0.81 ± 0.17,0.27 ± 0.07,0.08 ± 0.03,0.13 ± 0.04
GLR,Temperature v2,0.86 ± 0.15,0.47 ± 0.34,0.81 ± 0.17,0.15 ± 0.04,0.04 ± 0.02,0.05 ± 0.02
GLR,Beta,0.87 ± 0.15,0.56 ± 0.32,0.81 ± 0.17,0.12 ± 0.07,0.04 ± 0.03,0.05 ± 0.03
CLR,None,0.89 ± 0.17,0.51 ± 0.44,0.81 ± 0.18,0.07 ± 0.06,0.01 ± 0.01,0.02 ± 0.01
CLR,Histogram,0.90 ± 0.16,0.64 ± 0.36,0.80 ± 0.21,0.01 ± 0.00,0.00 ± 0.00,0.01 ± 0.00
CLR,Isotonic,0.90 ± 0.17,0.65 ± 0.35,0.83 ± 0.17,0.01 ± 0.01,0.00 ± 0.00,0.01 ± 0.01
CLR,Platt,0.89 ± 0.16,0.60 ± 0.41,0.81 ± 0.17,0.05 ± 0.06,0.01 ± 0.01,0.02 ± 0.01
CLR,Platt v2,0.89 ± 0.16,0.61 ± 0.41,0.81 ± 0.17,0.04 ± 0.06,0.01 ± 0.01,0.01 ± 0.02
CLR,Temperature,0.89 ± 0.17,0.51 ± 0.44,0.81 ± 0.18,0.24 ± 0.09,0.07 ± 0.03,0.15 ± 0.07
CLR,Temperature v2,0.89 ± 0.16,0.46 ± 0.48,0.81 ± 0.18,0.05 ± 0.06,0.01 ± 0.02,0.01 ± 0.02
CLR,Beta,0.90 ± 0.16,0.63 ± 0.39,0.81 ± 0.18,0.03 ± 0.03,0.00 ± 0.00,0.01 ± 0.01
EmbCLR,None,0.98 ± 0.05,0.97 ± 0.05,0.99 ± 0.02,0.02 ± 0.04,0.00 ± 0.01,0.01 ± 0.02
EmbCLR,Histogram,0.98 ± 0.05,0.97 ± 0.05,0.98 ± 0.04,0.01 ± 0.01,0.00 ± 0.00,0.00 ± 0.00
EmbCLR,Isotonic,0.98 ± 0.05,0.97 ± 0.05,0.99 ± 0.02,0.01 ± 0.01,0.00 ± 0.00,0.00 ± 0.00
EmbCLR,Platt,0.98 ± 0.05,0.97 ± 0.05,0.99 ± 0.02,0.01 ± 0.01,0.00 ± 0.00,0.00 ± 0.00
EmbCLR,Platt v2,0.98 ± 0.05,0.98 ± 0.05,0.99 ± 0.02,0.00 ± 0.01,0.00 ± 0.00,0.00 ± 0.00
EmbCLR,Temperature,0.98 ± 0.05,0.97 ± 0.05,0.99 ± 0.02,0.26 ± 0.04,0.07 ± 0.02,0.21 ± 0.06
EmbCLR,Temperature v2,0.98 ± 0.05,0.97 ± 0.05,0.99 ± 0.02,0.01 ± 0.01,0.00 ± 0.00,0.00 ± 0.00
EmbCLR,Beta,0.98 ± 0.05,0.97 ± 0.05,0.99 ± 0.02,0.01 ± 0.01,0.00 ± 0.00,0.00 ± 0.00
