Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.982,0.939,-,-,-,-
CT,None,0.982,0.939,-,-,-,-
GLR,None,0.976,0.916,0.997,0.147,0.035,0.039
GLR,Histogram,0.981,0.937,0.995,0.101,0.014,0.041
GLR,Isotonic,0.982,0.939,0.997,0.096,0.014,0.042
GLR,Platt,0.977,0.919,0.997,0.152,0.036,0.040
GLR,Temperature,0.976,0.916,0.997,0.153,0.037,0.040
GLR,Beta,0.980,0.932,0.997,0.096,0.011,0.035
CLR,None,0.979,0.929,0.997,0.077,0.012,0.018
CLR,Histogram,0.980,0.934,0.996,0.008,0.000,0.003
CLR,Isotonic,0.982,0.938,0.994,0.009,0.001,0.002
CLR,Platt,0.979,0.932,0.997,0.010,0.001,0.004
CLR,Temperature,0.979,0.929,0.997,0.017,0.003,0.004
CLR,Beta,0.979,0.932,0.997,0.011,0.002,0.003
EmbCLR,None,0.998,0.995,1.000,0.002,0.001,0.001
EmbCLR,Histogram,0.998,0.995,1.000,0.001,0.001,0.001
EmbCLR,Isotonic,0.999,0.997,1.000,0.001,0.000,0.000
EmbCLR,Platt,0.999,0.997,1.000,0.004,0.001,0.001
EmbCLR,Temperature,0.998,0.995,1.000,0.002,0.001,0.001
EmbCLR,Beta,0.999,0.997,1.000,0.001,0.001,0.001
