Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.903,0.761,-,-,-,-
CT,None,0.914,0.795,-,-,-,-
GLR,None,0.867,0.639,0.736,0.756,0.598,0.543
GLR,Platt,0.874,0.665,0.736,0.750,0.590,0.511
GLR,Isotonic,0.901,0.756,0.810,0.735,0.586,0.679
GLR,Temperature,0.867,0.639,0.736,0.574,0.335,0.302
CLR,None,0.909,0.778,0.736,0.681,0.494,0.328
CLR,Platt,0.913,0.795,0.736,0.669,0.482,0.294
CLR,Isotonic,0.913,0.795,0.836,0.661,0.525,0.644
CLR,Temperature,0.909,0.778,0.736,0.538,0.299,0.381
EmbCLR,None,1.000,1.000,1.000,0.749,0.749,0.749
EmbCLR,Platt,1.000,1.000,1.000,0.750,0.747,0.748
EmbCLR,Isotonic,1.000,1.000,1.000,0.000,0.000,0.000
EmbCLR,Temperature,1.000,1.000,1.000,0.615,0.419,0.548
