Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.920,0.750,-,-,-,-
CT,None,0.982,0.952,-,-,-,-
GLR,None,0.862,0.471,0.995,0.147,0.057,0.035
GLR,Histogram,0.922,0.756,0.992,0.124,0.037,0.044
GLR,Isotonic,0.912,0.715,0.995,0.121,0.038,0.041
GLR,Platt,0.870,0.512,0.995,0.145,0.056,0.033
GLR,Platt v2,0.870,0.512,0.995,0.145,0.056,0.033
GLR,Temperature,0.862,0.471,0.995,0.319,0.111,0.136
GLR,Temperature v2,0.862,0.471,0.995,0.147,0.057,0.035
GLR,Beta,0.897,0.649,0.995,0.128,0.047,0.041
CLR,None,0.975,0.932,0.995,0.094,0.020,0.017
CLR,Histogram,0.983,0.957,0.994,0.003,0.000,0.002
CLR,Isotonic,0.984,0.959,0.993,0.007,0.000,0.003
CLR,Platt,0.984,0.959,0.995,0.019,0.002,0.004
CLR,Platt v2,0.984,0.959,0.995,0.015,0.002,0.003
CLR,Temperature v2,0.975,0.932,0.995,0.031,0.007,0.005
CLR,Beta,0.984,0.959,0.995,0.010,0.001,0.003
EmbCLR,None,0.999,0.998,1.000,0.001,0.000,0.000
EmbCLR,Histogram,0.999,0.998,1.000,0.001,0.000,0.001
EmbCLR,Isotonic,0.999,0.998,1.000,0.000,0.000,0.000
EmbCLR,Platt,1.000,1.000,1.000,0.002,0.000,0.001
EmbCLR,Platt v2,0.999,0.998,1.000,0.001,0.000,0.001
EmbCLR,Temperature v2,0.999,0.998,1.000,0.001,0.000,0.001
EmbCLR,Beta,0.999,0.998,1.000,0.001,0.000,0.001
