Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.994,0.979,-,-,-,-
CT,None,0.994,0.977,-,-,-,-
GLR,None,0.989,0.958,1.000,0.110,0.021,0.042
GLR,Histogram,0.994,0.979,0.999,0.068,0.007,0.052
GLR,Isotonic,0.994,0.979,1.000,0.063,0.006,0.050
GLR,Platt,0.988,0.955,1.000,0.114,0.022,0.049
GLR,Beta,0.992,0.970,1.000,0.074,0.007,0.049
CLR,None,0.992,0.970,1.000,0.053,0.006,0.024
CLR,Histogram,0.994,0.977,0.994,0.004,0.000,0.002
CLR,Isotonic,0.994,0.980,0.999,0.005,0.001,0.001
CLR,Platt,0.995,0.983,1.000,0.007,0.001,0.003
CLR,Beta,0.995,0.983,1.000,0.005,0.001,0.002
EmbCLR,None,0.999,0.997,1.000,0.001,0.000,0.001
EmbCLR,Histogram,0.999,0.997,0.997,0.000,0.000,0.000
EmbCLR,Isotonic,0.999,0.997,1.000,0.000,0.000,0.000
EmbCLR,Platt,0.999,0.997,1.000,0.003,0.001,0.001
EmbCLR,Beta,0.999,0.997,1.000,0.000,0.000,0.000
