Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.881,0.324,-,-,-,-
CT,None,0.910,0.050,-,-,-,-
GLR,None,0.913,0.168,0.778,0.703,0.539,0.284
GLR,Platt,0.915,0.230,0.778,0.696,0.531,0.273
GLR,Isotonic,0.891,0.338,0.776,0.714,0.560,0.433
GLR,Temperature,0.913,0.168,0.778,0.552,0.321,0.240
CLR,None,0.909,0.000,0.778,0.813,0.679,0.430
CLR,Platt,0.909,0.000,0.778,0.805,0.679,0.488
CLR,Isotonic,0.912,0.265,0.780,0.588,0.470,0.284
CLR,Temperature,0.909,0.000,0.778,0.600,0.366,0.348
EmbCLR,None,0.998,0.987,1.000,0.909,0.907,0.908
EmbCLR,Platt,0.998,0.987,1.000,0.907,0.902,0.903
EmbCLR,Isotonic,0.998,0.987,1.000,0.005,0.003,0.004
EmbCLR,Temperature,0.998,0.987,1.000,0.688,0.492,0.664
