Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.823,0.090,-,-,-,-
CT,None,0.972,0.054,-,-,-,-
GLR,None,0.866,0.067,0.689,0.184,0.060,0.044
GLR,Histogram,0.824,0.098,0.662,0.184,0.086,0.048
GLR,Isotonic,0.825,0.076,0.684,0.183,0.085,0.086
GLR,Platt,0.860,0.074,0.689,0.192,0.063,0.042
GLR,Beta,0.833,0.071,0.689,0.192,0.092,0.048
CLR,None,0.971,0.000,0.689,0.015,0.000,0.014
CLR,Histogram,0.971,0.000,0.489,0.009,0.000,0.009
CLR,Isotonic,0.971,0.000,0.669,0.015,0.001,0.011
CLR,Platt,0.971,0.000,0.689,0.010,0.001,0.009
CLR,Beta,0.971,0.000,0.689,0.010,0.001,0.009
EmbCLR,None,0.996,0.928,1.000,0.003,0.002,0.001
EmbCLR,Histogram,0.997,0.944,0.971,0.003,0.000,0.002
EmbCLR,Isotonic,0.997,0.946,0.999,0.003,0.001,0.002
EmbCLR,Platt,0.996,0.928,1.000,0.005,0.001,0.002
EmbCLR,Beta,0.997,0.946,1.000,0.003,0.001,0.001
