Model,Calibration,Acc,F1,AUC,K1,K2,Kmax
GT,None,0.924,0.631,-,-,-,-
CT,None,0.927,0.662,-,-,-,-
GLR,None,0.891,0.369,0.783,0.111,0.024,0.042
GLR,Histogram,0.924,0.631,0.771,0.037,0.007,0.012
GLR,Isotonic,0.918,0.590,0.803,0.039,0.008,0.012
GLR,Platt,0.897,0.427,0.783,0.118,0.024,0.045
GLR,Temperature,0.891,0.369,0.783,0.117,0.024,0.046
GLR,Beta,0.912,0.549,0.783,0.049,0.010,0.015
CLR,None,0.863,0.055,0.783,0.103,0.026,0.038
CLR,Histogram,0.924,0.655,0.815,0.010,0.000,0.005
CLR,Isotonic,0.927,0.662,0.814,0.014,0.001,0.006
CLR,Platt,0.906,0.500,0.783,0.091,0.019,0.028
CLR,Temperature,0.863,0.055,0.783,0.096,0.026,0.032
CLR,Beta,0.927,0.662,0.783,0.037,0.004,0.009
EmbCLR,None,0.998,0.994,1.000,0.002,0.000,0.001
EmbCLR,Histogram,0.998,0.994,0.999,0.002,0.000,0.002
EmbCLR,Isotonic,0.998,0.994,1.000,0.001,0.001,0.001
EmbCLR,Platt,0.998,0.994,1.000,0.003,0.000,0.001
EmbCLR,Temperature,0.998,0.994,1.000,0.002,0.000,0.002
EmbCLR,Beta,0.998,0.994,1.000,0.001,0.001,0.001
