Model,Calibration,accuracy,f1,auc,K1,K2,Kmax
(M1) Global Threshold,None,0.526,0.351,-,-,-,-
(M2) Individual Threshold,None,0.500,0.666,-,-,-,-
(M3) Global Similarity LogReg,None,0.507,0.151,0.520,0.239,0.084,0.089
(M3) Global Similarity LogReg,Histogram,0.525,0.348,0.526,0.268,0.098,0.149
(M3) Global Similarity LogReg,Isotonic,0.528,0.330,0.523,0.264,0.097,0.150
(M3) Global Similarity LogReg,Platt,0.509,0.167,0.520,0.229,0.080,0.085
(M3) Global Similarity LogReg,Temperature,0.507,0.151,0.520,0.115,0.020,0.068
(M3) Global Similarity LogReg,Beta,0.520,0.273,0.520,0.279,0.097,0.111
(M4) Individual Similarity LogReg,None,0.486,0.441,0.480,0.015,0.000,0.010
(M4) Individual Similarity LogReg,Histogram,0.514,0.550,0.514,0.016,0.000,0.008
(M4) Individual Similarity LogReg,Isotonic,0.492,0.640,0.518,0.031,0.001,0.027
(M4) Individual Similarity LogReg,Platt,0.494,0.661,0.520,0.020,0.002,0.018
(M4) Individual Similarity LogReg,Temperature,0.486,0.441,0.480,0.015,0.000,0.008
(M4) Individual Similarity LogReg,Beta,0.500,0.666,0.500,0.015,0.000,0.015
(M5) Embeddings LogReg,None,0.859,0.860,0.935,0.474,0.372,0.398
(M5) Embeddings LogReg,Histogram,0.857,0.858,0.892,0.392,0.309,0.366
(M5) Embeddings LogReg,Isotonic,0.859,0.860,0.935,0.390,0.333,0.312
(M5) Embeddings LogReg,Platt,0.862,0.864,0.935,0.382,0.323,0.298
(M5) Embeddings LogReg,Temperature,0.859,0.860,0.935,0.365,0.194,0.280
(M5) Embeddings LogReg,Beta,0.859,0.863,0.935,0.386,0.328,0.309
